symptoms,disease
"Nausea, vomiting, hair loss, bladder irritation, increased risk of infections.",Cyclophosphamide Toxicity
"Frequent urination, painful urination, pelvic discomfort, cloudy urine, strong-smelling urine.",Cystitis
"Fever, fatigue, swollen glands, body aches, can be asymptomatic in healthy individuals.",Cytomegalovirus (CMV) Infection
"Persistent cough, lung infections, difficulty breathing, digestive problems, salty sweat.",Cystic Fibrosis
"Severe pain in the upper right abdomen, nausea, vomiting, fever.",Cholecystitis
"Extreme fatigue, muscle pain, sleep problems, joint pain, headaches.",Chronic Fatigue Syndrome
"Swollen lymph nodes, fatigue, weight loss, increased infections.",Chronic Lymphocytic Leukemia (CLL)
"Fatigue, night sweats, weight loss, abdominal discomfort.",Chronic Myeloid Leukemia (CML)
"Muscle pain, swelling, kidney damage, shock (from prolonged muscle compression).",Crush Syndrome
"Neck pain, stiffness, headaches, weakness in arms, numbness or tingling in hands.",Cervical Spondylosis
"Nasal congestion, facial pain, postnasal drip, headache, reduced sense of smell.",Chronic Sinusitis
"Shortness of breath, chronic cough, wheezing, chest tightness.",Chronic Obstructive Pulmonary Disease (COPD)
"Abnormal vaginal bleeding, pelvic pain, pain during intercourse.",Cervical Cancer
"Weak pulse, rapid heartbeat, confusion, cold and clammy skin, shortness of breath.",Cardiogenic Shock
"Frequent urination, kidney stones, abdominal pain, nausea, blood in urine.",Cystinuria
"Mood swings, periods of hypomania and depression, irritability, impulsiveness.",Cyclothymic Disorder
"Painful skin ulcers, calcification of blood vessels, kidney dysfunction.",Calciphylaxis
"Frequent bacterial and fungal infections, granulomas (small areas of inflammation).",Chronic Granulomatous Disease
"Headache, neck pain, nausea, dizziness, hearing changes.",Cerebrospinal Fluid Leak
"Usually asymptomatic; may cause rectal bleeding, changes in bowel habits.",Colonic Polyp
"Easy bruising, excessive bleeding, blood clots, frequent nosebleeds.",Coagulation Disorders
"Lack of coordination, difficulty walking, balance problems, tremors.",Cerebellar Ataxia
"Abdominal pain, nausea, weight loss, diarrhea, fatty stools.",Chronic Pancreatitis
"Abdominal pain, nausea, vomiting, jaundice.",Cholesterol Gallstones
"Pain in the pelvic area, painful urination, difficulty urinating, lower back pain.",Chronic Bacterial Prostatitis
"Muscle cramps, twitching, fatigue, weakness.",Cramp-fasciculation Syndrome
"Recurrent episodes of severe vomiting, nausea, abdominal pain.",Cyclic Vomiting Syndrome
"Nasal congestion, facial pain or pressure, reduced sense of smell, thick nasal discharge.",Chronic Rhinosinusitis
"Red, itchy patches on the skin, often related to allergies or irritants.",Chronic Rashes
"Leg pain during exercise, cramping, heaviness in the legs, pain that subsides with rest.",Claudication
"Blurred vision, sensitivity to light, eye pain.",Corneal Dystrophy
"Abnormal vaginal or penile discharge, burning sensation during urination, abdominal pain.",Chlamydial Infection
"Chronic cough, production of mucus, shortness of breath.",Chronic Bronchitis
"Sudden severe headache, nausea, vision impairment, sensitivity to light, seizures.",Cerebral Aneurysm
"Ear pain, fluid drainage, hearing loss, irritability in children.",Chronic Otitis Media
"Recurrent infections, autoimmune disorders, enlarged lymph nodes, fatigue.",Common Variable Immunodeficiency
"Red patches or plaques on the skin, itching, skin discoloration, swollen lymph nodes.",Cutaneous Lymphoma
"Nervousness, restlessness, insomnia, rapid heartbeat, upset stomach.",Caffeine Sensitivity
"Muscle cramps, tingling in fingers, brittle nails, fatigue, osteoporosis.",Calcium Deficiency
"Pain, swelling, bruising, restricted movement, numbness (from overuse or trauma).",Cycling Injury
"Blackheads and whiteheads, oily skin, enlarged pores.",Comedonal Acne
"Irregular heartbeat, palpitations, dizziness, fainting, chest discomfort.",Cardiac Arrhythmia
"Persistent fatigue, sleep disturbances, mood swings, memory problems.",Chronic Fatigue
"Neck pain, tingling in arms, weakness, balance problems.",Cervical Stenosis
"Loss of bee colonies, agricultural impact (not a human disease).",Colony Collapse Disorder (CCD)
"Vomiting, lethargy, failure to thrive, irritability (in infants).",Citrullinemia
"Seizures, headaches, confusion, nausea, visual problems (due to pork tapeworm infection).",Cysticercosis
"Fatigue, jaundice, dark urine, abdominal pain, liver damage.",Chronic Hepatitis B
"Fatigue, jaundice, dark urine, abdominal pain, liver damage.",Chronic Hepatitis C
"Growth retardation, kidney failure, eye problems, muscle weakness.",Cystinosis
"Nasal congestion, facial pain, headache, postnasal drip.",Chronic Sinusitis
"Fatigue, joint pain, skin rashes, nerve problems, kidney issues.",Cryoglobulinemic Vasculitis
"Persistent pain, fatigue, mood changes, sleep disturbances.",Chronic Pain Syndromes
"Fatigue, weakness, pale skin, shortness of breath, dizziness.",Chronic Anemia
"Abnormal head shape, developmental delays, increased intracranial pressure, irritability.",Craniosynostosis
"Toothache, sensitivity to hot and cold, swelling in gums, bad breath.",Chronic Pulpitis
"Pain, swelling, bruising, restricted movement, numbness.",Cycling Injuries
"Nausea, vomiting, fatigue, hair loss, increased risk of infections.",Cytotoxic Therapy Effects
"Abdominal pain, bloating, nausea, vomiting, indigestion.",Chronic Gastritis
"Painful mouth sores, difficulty eating, swelling.",Chronic Recurrent Aphthous Stomatitis
"Hives or welts in response to cold, swelling, difficulty breathing in severe cases.",Cold Urticaria
"Chronic cough, shortness of breath, wheezing, chest tightness.",Chronic Obstructive Pulmonary Disease (COPD)
"High fever, severe headache, pain behind the eyes, joint and muscle pain, rash, mild bleeding.",Dengue Fever
"Increased thirst, frequent urination, extreme hunger, fatigue, blurred vision, slow healing sores.",Diabetes Mellitus
"Nausea, vomiting, abdominal pain, fruity-scented breath, confusion, rapid breathing.",Diabetic Ketoacidosis
"Loose, watery stools, abdominal cramps, urgency to defecate, dehydration, nausea.",Diarrhea
"Abdominal pain (usually on the left side), fever, nausea, changes in bowel habits, bloating.",Diverticulitis
"Characteristic facial features, developmental delays, intellectual disability, hypotonia (decreased muscle tone).",Down Syndrome
"Sore throat, fever, swollen glands, weakness, difficulty breathing or swallowing, gray membrane in throat.",Diphtheria
"Severe pain, swelling, inability to move the joint, visible deformity.",Dislocation
"Lightheadedness, feeling faint, loss of balance, spinning sensation.",Dizziness
"Chronic low mood, fatigue, low self-esteem, difficulty concentrating, changes in appetite or sleep.",Dysthymia (Persistent Depressive Disorder)
"Painful menstruation, cramps, lower abdominal pain, nausea, headache, fatigue.",Dysmenorrhea
"Difficulty swallowing, pain while swallowing, choking, sensation of food stuck in the throat.",Dysphagia
"Difficulty reading, problems with spelling and writing, trouble understanding written instructions.",Dyslexia
"Shortness of breath, difficulty breathing, wheezing, chest tightness.",Dyspnea
"Red, itchy skin, rashes, blisters, dryness, swelling.",Dermatitis
"Memory loss, confusion, difficulty communicating, changes in personality, impaired reasoning.",Dementia
"Persistent sadness, loss of interest, fatigue, changes in appetite, sleep disturbances, feelings of worthlessness.",Depression
"Swelling in one leg, pain or tenderness, warmth in the affected area, redness or discoloration.",Deep Vein Thrombosis (DVT)
"Firm, raised skin growths, brownish color, no pain or itching.",Dermatofibroma
"Abnormal cholesterol levels, no symptoms (often diagnosed through blood tests), increased risk of cardiovascular disease.",Dyslipidemia
"Blurred vision, dark spots in vision, difficulty seeing at night, potential blindness.",Diabetic Retinopathy
"Cramping, abdominal pain, bloating, urgency to have a bowel movement.",Diarrhea-Predominant Irritable Bowel Syndrome (IBS)
"Cravings, compulsive drug seeking, withdrawal symptoms, loss of control over use.",Drug Addiction
"Thickening of tissue under the skin of the palm, fingers bending toward the palm, difficulty straightening fingers.",Dupuytren’s Contracture
"Progressive muscle weakness, frequent falls, difficulty walking, muscle cramps, learning difficulties.",Duchenne Muscular Dystrophy
"Painful or difficult urination, burning sensation, frequent urge to urinate.",Dysuria
"Firm mass or swelling, pain (if pressing on nerves or organs), changes in bowel habits.",Desmoid Tumors
"Enlarged fourth ventricle, developmental delays, motor problems, seizures.",Dandy-Walker Malformation
"Stinging or burning sensation, redness, blurred vision, sensitivity to light.",Dry Eye Syndrome
"Thickening of skin in the palm, formation of nodules, fingers being pulled toward the palm.",Dupuytren's Disease
"Severe bleeding, organ impairment, blood plasma leakage, abdominal pain.",Dengue Hemorrhagic Fever
"Red, inflamed skin, pain, open sore, infection risk, swelling.",Decubitus Ulcer (Pressure Sore)
"Involuntary muscle contractions, abnormal posture, twisting movements, tremors.",Dystonia
"Difficulty speaking or understanding speech, slurred speech, problems finding words.",Dysphasia
"Visual hallucinations, fluctuations in attention, movement difficulties, cognitive decline.",Dementia with Lewy Bodies
"Abnormal brain development, cyst formation, developmental delays, coordination problems.",Dandy-Walker Syndrome
"Swelling, fever, back pain, hematuria (blood in urine), proteinuria (protein in urine).",Diphtheritic Nephritis
"Numbness or tingling in extremities, pain, sensitivity to touch, weakness, digestive issues.",Diabetic Neuropathy
"Confusion, disorientation, changes in alertness, hallucinations, agitation.",Delirium
"Severe abdominal pain, persistent vomiting, rapid breathing, fatigue, bleeding, organ failure.",Dengue Shock Syndrome
"Cough, chest pain, fever, fatigue, possible skin lesions (due to the parasite Dirofilaria).",Dirofilariasis
"Blurred or double vision, difficulty focusing, headaches, dizziness.",Diplopia (Double Vision)
"Abnormal heart rate, blood pressure changes, lightheadedness, fainting, digestive issues.",Dysautonomia
"Pain while swallowing, sensation of food stuck in throat, coughing or choking.",Dysphagia (Swallowing Disorder)
"Skin lesions, possible itching or pain, changes in skin color or texture.",Dendritic Cell Tumor
"Muscle weakness, skin rash (heliotrope rash), fatigue, joint pain.",Dermatomyositis
"Discolored teeth, weak or brittle teeth, dental sensitivity.",Dentinogenesis Imperfecta
"Lack of physical development, absence of secondary sexual characteristics, possible psychological effects.",Delayed Puberty
"Cystic dilation, developmental delays, coordination difficulties.",Dandy-Walker Variant
"Fever, swelling, fatigue, respiratory issues (associated with camel contact).",Dromedary Disease (Camel Disease)
"Back pain, stiffness, numbness or tingling in limbs, weakness.",Degenerative Disc Disease
"Abdominal pain, diarrhea, weight loss, fatigue, nausea (from parasites).",Deworming Syndrome
"Shortness of breath, fatigue, swelling in legs, rapid heartbeat.",Diastolic Heart Failure
"Hoarseness, difficulty speaking, loss of voice, throat discomfort.",Dysphonia
"Bleeding, bruising, blood clots, organ failure.",Disseminated Intravascular Coagulation (DIC)
"Painful swelling, fever, nausea, vomiting (from parasitic infection).",Dracunculiasis (Guinea Worm Disease)
"Severe cramps, abdominal pain, headaches, nausea, vomiting.",Dysmenorrhea (Menstrual Pain)
"Hair loss, acne, prostate enlargement, changes in libido.",Dihydrotestosterone (DHT) Related Disorders
"Excessive thirst, frequent urination, dehydration, fatigue.",Diabetes Insipidus
"Fatigue, weight changes, hair loss, mood changes, sensitivity to heat or cold.",Dysfunction of the Thyroid
"Persistent low mood, fatigue, low self-esteem, difficulty concentrating.",Dysthymia (Chronic Depression)
"Distorted sense of taste, metallic or foul taste in the mouth.",Dysgeusia
"Wrist pain, swelling, deformity, difficulty moving the wrist.",Distal Radius Fracture
"Spinning sensation, loss of balance, nausea, ringing in ears.",Dizziness (Vertigo)
"Severe headache, pain behind eyes, joint and muscle pain, skin rash, bleeding, organ impairment.",Dengue Fever (Severe)
"Raised welts or hives from light pressure on the skin, itching, redness.",Dermatographia
"Presence of two or more distinct identities, memory gaps, disruptions in consciousness.",Dissociative Identity Disorder
"Strong belief in false ideas, paranoia, social withdrawal, mood changes.",Delusional Disorder
"Severe seizures, developmental delays, difficulty walking, sleep problems.",Dravet Syndrome
"Itchy, blistering rash, often on elbows, knees, and buttocks, associated with celiac disease.",Dermatitis Herpetiformis
"Abnormal menstrual bleeding, heavy periods, irregular cycle, pelvic pain.",Dysfunctional Uterine Bleeding
"Pain, swelling, redness near the tear sac, discharge from the eye, tearing.",Dacryocystitis
"Shortness of breath, fatigue, swelling in legs or ankles, irregular heartbeat.",Dilated Cardiomyopathy
"Open sore or wound on the foot, redness, swelling, pain, possible infection.",Diabetic Foot Ulcer
"Difficulty with motor skills, trouble with balance, clumsiness, problems with writing or using scissors.",Developmental Coordination Disorder
"Abdominal pain, bloating, constipation, diarrhea, changes in bowel habits.",Diverticular Disease
"No symptoms (often found on mammograms), lump in breast, changes in breast shape or size.",Ductal Carcinoma in Situ
"Redness, itching, rash, skin changes on the breast, possible pain.",Dermatitis of the Breast
"Moles that are larger than normal, irregular borders, variation in color, increased risk of melanoma.",Dysplastic Nevus Syndrome
"Pain and swelling in the outer part of the eye, tearing, redness, possible fever.",Dacryoadenitis
"Irregular heart rate, blood pressure fluctuations, fatigue, lightheadedness.",Dysautonomia (Autonomic Dysfunction)
"Pain and swelling at the base of the thumb, difficulty gripping, tenderness.",De Quervain's Tenosynovitis
"Gum inflammation, tooth mobility, bad breath, pain while chewing.",Destructive Periodontitis
"Loss of consciousness, confusion, cognitive deficits, behavioral changes.",Diffuse Axonal Injury
"Enlarged pupils, sensitivity to light, difficulty focusing.",Dilated Pupil (Mydriasis)
"A lump on the wrist, discomfort, difficulty moving the wrist, pain with gripping.",Dorsal Wrist Ganglion
"Lightheadedness or dizziness when standing up, fainting, blurred vision.",Dizziness (Orthostatic Hypotension)
"Feeling detached from oneself or reality, distorted perceptions, anxiety.",Depersonalization/Derealization Disorder
"Difficulty breathing, severe sore throat, swollen neck, gray membrane in throat.",Diphtheria (Severe)
"Fatigue, jaundice, nausea, abdominal pain, loss of appetite.",Drug-Induced Liver Injury
"Blurred vision, floaters, dark areas in vision, difficulty seeing at night.",Diabetes-Related Eye Disease
"Difficulty writing, poor handwriting, trouble organizing thoughts on paper.",Dysgraphia
"Loss of proprioception, loss of vibration sense, sensory ataxia (coordination problems).",Dorsal Columns Injury
"Blurred vision, visual distortion, colors appearing faded, difficulty seeing at night.",Diabetic Macular Edema
"Abnormal growth or development of cells, often asymptomatic, detected via screening.",Dysplasia (Cellular)
"Shortness of breath, fatigue, fluid retention, swelling in legs, rapid heartbeat.",Diastolic Dysfunction
"Weakness in shoulder elevation, difficulty turning head, muscle atrophy.",Diminished Accessory Nerve Function
"Muscle weakness, fatigue, visual disturbances, numbness, coordination difficulties.",Disseminated Sclerosis
"Shoulder pain, weakness in shoulder muscles, difficulty lifting the arm.",Dorsal Scapular Nerve Entrapment
"Heavy or prolonged menstrual bleeding, irregular periods, pelvic pain.",Dysfunctional Uterine Bleeding (DUB)
"Swelling in fingers or toes, pain, limited mobility.",Dactylitis
"Swelling of lymph nodes, fever, night sweats, weight loss, fatigue.",Diffuse Large B-Cell Lymphoma
"Flushing, sweating, dizziness, changes in skin color, increased sensitivity to temperature.",Dysfunctional Vascular Regulation
"Incoordination of movements, difficulty with balance, abnormal gait.",Dyssynergia
"Abdominal pain, nausea, vomiting, loss of appetite, weight loss.",Destructive Gastritis
"Shortness of breath, swelling in legs or feet, fatigue, irregular heartbeat.",Doxorubicin-Induced Cardiomyopathy
"Inability to recall important personal information, memory gaps, confusion.",Dissociative Amnesia
"Shortness of breath, fatigue, fluid retention.",Diastolic Heart Failure (Heart Failure with preserved ejection fraction)
"Fever, headache, muscle pain, fatigue, diarrhea, vomiting, rash",Ebola Virus Disease
"Fever, rash, respiratory symptoms, gastrointestinal symptoms",Echovirus Infection
"Itching, redness, dry and flaky skin, swelling, crusting",Eczema
"Pelvic pain, painful periods, pain during intercourse, infertility",Endometriosis
"Fever, headache, confusion, seizures, sensitivity to light, fatigue",Encephalitis
"Diarrhea, abdominal pain, nausea, vomiting, fever",Enteritis
"Seizures, confusion, unusual sensations, loss of consciousness",Epilepsy
"Pain and swelling at the tumor site, fatigue, fever, weight loss",Ewing Sarcoma
"Sweating more than normal, discomfort, skin irritation",Excessive Sweating (Hyperhidrosis)
"Sudden high fever, followed by a rash, irritability, fatigue",Exanthema Subitum (Roseola)
"Difficulty swallowing, weight loss, chest pain, hoarseness",Esophageal Cancer
"Trembling hands, head shaking, voice changes, balance problems",Essential Tremor
"Red spots or patches on the skin, blisters, mucous membrane lesions",Erythema Multiforme
"Sensitivity to sunlight, pain, and swelling, abdominal pain",Erythropoietic Protoporphyria
"Fever, chills, fatigue, heart murmurs, shortness of breath",Endocarditis
"Abdominal pain, irregular bleeding, shoulder pain, dizziness",Ectopic Pregnancy
"Shortness of breath, chronic cough, wheezing, chest tightness",Emphysema
"Frequent urination, difficulty starting urination, weak stream",Enlarged Prostate (Benign Prostatic Hyperplasia)
"Nausea, vomiting, diarrhea, headache, dizziness",Elderberry Poisoning
"Hyper-flexible joints, skin that bruises easily, chronic pain",Ehlers-Danlos Syndrome
"Sneezing, itching, runny or stuffy nose, skin rashes",Environmental Allergies
"Widespread pain, fatigue, sleep disturbances, cognitive difficulties",Fibromyalgia
"Fever, chills, cough, sore throat, muscle aches, fatigue",Flu (Influenza)
"Itching, redness, rashes, flu-like symptoms, fatigue",Fungal Infections
"Jerking movements, altered consciousness, unusual sensations",Focal Seizures
"Fever, blistering lesions in the mouth and on the feet, drooling",Foot and Mouth Disease
"Fatigue, weight loss, abdominal discomfort, jaundice",Fatty Liver Disease
"Loss of coordination, scoliosis, diabetes, heart disease",Friedreich's Ataxia
"Personality changes, impaired judgment, difficulty with language",Frontal Lobe Dementia
"Heavy menstrual bleeding, pelvic pain, pressure symptoms",Fibroid Tumors
"Rheumatoid arthritis, splenomegaly, low white blood cell count",Felty's Syndrome
"Short stature, skeletal abnormalities, blood disorders",Fanconi Anemia
"Weakness in the muscles, floppy appearance, feeding difficulties",Floppy Baby Syndrome (Hypotonia)
"Swollen lymph nodes, fatigue, fever, night sweats",Follicular Lymphoma
"Loss of coordination, scoliosis, diabetes, heart disease",Friedrich's Ataxia
"Fever, headache, stiff neck, sensitivity to light, confusion",Fungal Meningitis
"Sudden weakness in one side of the face, drooping, loss of taste",Facial Nerve Palsy (Bell's Palsy)
"Developmental delays, learning disabilities, behavioral issues",Fragile X Syndrome
"Cough, shortness of breath, fatigue, chills",Farmer's Lung
"High cholesterol, heart disease, tendon xanthomas",Familial Hypercholesterolemia
"Blurred vision, light sensitivity, halos around lights",Fuchs' Dystrophy
"Muscle stiffness, immobility, bone growth outside the skeleton",Fibrodysplasia Ossificans Progressiva
"Stomach pain, nausea, vomiting, indigestion, loss of appetite",Gastritis
"Diarrhea, vomiting, stomach cramps, fever, nausea",Gastroenteritis
"Sudden and severe pain in joints, swelling, redness, warmth",Gout
"Abdominal pain, nausea, vomiting, bloating, jaundice",Gallbladder Disease
"Red, swollen gums, bleeding while brushing, bad breath",Gingivitis
"Vision loss, tunnel vision, eye pain, nausea, vomiting",Glaucoma
"Blood in urine, swelling, high blood pressure, fatigue",Glomerulonephritis
"Muscle weakness, hypoglycemia, growth delays, liver enlargement",Glycogen Storage Disease
"Muscle weakness, tingling sensations, paralysis, difficulty breathing",Guillain-Barré Syndrome
"Fatigue, bruising, anemia, enlarged liver or spleen",Gaucher's Disease
"Heartburn, regurgitation, chest pain, difficulty swallowing",Gastroesophageal Reflux Disease (GERD)
"Increased thirst, frequent urination, fatigue, blurred vision",Gestational Diabetes
"Intense joint pain, swelling, redness, and warmth",Gouty Arthritis
"Varies widely; may include developmental delays, physical disabilities",Genetic Disorders
"Headaches, scalp tenderness, jaw pain, vision problems",Giant Cell Arteritis
"Jaundice, vomiting, lethargy, developmental delays",Galactosemia
"Fatigue, coughing up blood, shortness of breath, kidney problems",Goodpasture Syndrome
"Weight loss, rapid heartbeat, anxiety, tremors, heat intolerance",Graves' Disease
"Skin rash, fever, jaundice, diarrhea, liver damage",Graft-versus-Host Disease
"Swollen gums, gum overgrowth, difficulty in maintaining oral hygiene",Gingival Hyperplasia
"Abdominal pain, swelling, weight loss, hormonal changes",Germ Cell Tumors
"Kidney stones, kidney failure, joint pain",Gouty Nephropathy
"Sinus pain, cough, shortness of breath, kidney issues",Granulomatosis with Polyangiitis (Wegener's Granulomatosis)
"Mild jaundice, fatigue, abdominal pain",Gilbert's Syndrome
"Abdominal pain, nausea, vomiting, weight loss",Gastrointestinal Stromal Tumor (GIST)
"Fatigue, jaundice, dark urine, shortness of breath",Glucose-6-Phosphate Dehydrogenase Deficiency (G6PD Deficiency)
"Ring-shaped rash, itching, no pain",Granuloma Annulare
"Itchy, red eyes, mucus discharge, swollen eyelids",Giant Papillary Conjunctivitis
"Fatigue, nausea, abdominal pain, loss of appetite, jaundice (yellowing of skin and eyes)",Hepatitis A
"Jaundice, dark urine, fatigue, abdominal pain, liver inflammation",Hepatitis B
"Fatigue, fever, joint pain, jaundice, liver damage",Hepatitis C
"Fever, weight loss, night sweats, fatigue, recurrent infections",HIV/AIDS
"Often asymptomatic, headaches, shortness of breath, nosebleeds, vision problems",Hypertension (High Blood Pressure)
"Fatigue, weight gain, dry skin, hair loss, depression, sensitivity to cold",Hypothyroidism
"Weight loss, rapid heartbeat, sweating, irritability, tremors",Hyperthyroidism
"Blisters, sores around mouth/genitals, pain, itching",Herpes Simplex
"Numbness, skin lesions, muscle weakness, disfiguring skin sores",Hansen's Disease (Leprosy)
"Excessive bleeding, easy bruising, joint pain, blood in urine/stool",Hemophilia
"Swollen lymph nodes, fatigue, fever, night sweats, weight loss",Hodgkin's Lymphoma
"Shakiness, dizziness, sweating, hunger, confusion, weakness",Hypoglycemia
"Increased thirst, frequent urination, blurred vision, fatigue, headache",Hyperglycemia
"Fatigue, joint pain, abdominal pain, bronze skin, liver damage",Hemochromatosis
"Painful lumps under the skin, abscesses, drainage of pus",Hidradenitis Suppurativa
"Shortness of breath, fatigue, swollen legs, rapid heartbeat",Heart Failure
"Confusion, drowsiness, mood changes, tremors, jaundice",Hepatic Encephalopathy
"Fever, cough, chest pain, fatigue, joint pain, skin lesions",Histoplasmosis
"Fever, muscle aches, shortness of breath, coughing, fluid in lungs",Hantavirus Pulmonary Syndrome
"Fatigue, weakness, shortness of breath, jaundice, dark urine",Hemolytic Anemia
"Stomach pain, bloating, nausea, loss of appetite, gastritis",Helicobacter Pylori Infection
"Painful rash, itching, burning, sensitivity to touch, fever",Herpes Zoster (Shingles)
"Chest pain, xanthomas (fatty deposits), shortness of breath, numbness",Hypercholesterolemia
"Dizziness, fainting, low blood pressure, thirst, confusion",Hypovolemia
"Headache, nausea, vision problems, balance issues, cognitive decline",Hydrocephalus
"Bone pain, fatigue, depression, kidney stones, frequent urination",Hyperparathyroidism
"Shortness of breath, chest pain, fainting, fatigue, rapid heartbeat",Hypertrophic Cardiomyopathy
"Itchy, raised welts, swelling, redness, burning sensation",Hives (Urticaria)
"Drooping eyelid, constricted pupil, lack of sweating on one side of the face",Horner Syndrome
"Delayed development, joint stiffness, respiratory problems, hearing loss",Hunter Syndrome
"Fatigue, weakness, weight loss, low blood pressure, sensitivity to cold",Hypopituitarism
"Muscle weakness, cramps, irregular heartbeat, fatigue, paralysis",Hypokalemia
"Muscle cramps, tingling, confusion, seizures, abnormal heart rhythms",Hypocalcemia
"Abdominal swelling, pain, nausea, vomiting, loss of appetite",Hepatoblastoma
"Swelling, bruising, pain, blood under the skin, headache (in the case of brain hematoma)",Hematoma
"Shortness of breath, dizziness, light-headedness, tingling in fingers and toes",Hyperventilation
"Pain in the side, fever, nausea, difficulty urinating, blood in the urine",Hydronephrosis
"Swelling of face, hands, feet, throat, abdominal pain, difficulty breathing",Hereditary Angioedema
"Abdominal pain, swelling, jaundice, fatigue, nausea",Hepatomegaly
"Drooping eyelid, constricted pupil, reduced sweating on one side of face",Horner’s Syndrome
"High blood pressure, fatigue, muscle cramps, excessive thirst, frequent urination",Hyperaldosteronism
"Fatigue, shortness of breath, confusion, headaches, dizziness",Hypercapnia
"Swollen scrotum, discomfort in the groin, heaviness in scrotum",Hydrocele
"Nausea, headache, confusion, seizures, coma",Hyponatremia
"Rapid kidney failure, jaundice, fatigue, confusion, low urine output",Hepatorenal Syndrome
"Fatigue, decreased libido, erectile dysfunction, infertility, loss of muscle mass",Hypogonadism
"Muscle weakness, respiratory issues, bone pain, confusion",Hypophosphatemia
"Irregular periods, infertility, decreased libido, milk discharge from breasts",Hyperprolactinemia
"Cough, shortness of breath, fatigue, weight loss",Hypersensitivity Pneumonitis
"Rapid heartbeat, cold skin, sweating, confusion, fainting, weakness",Hypovolemic Shock
"Fever, sore throat, small painful sores in mouth, difficulty swallowing",Herpangina
"Abdominal pain, diarrhea, weight loss, fatigue, nausea",Helminthiasis
"Swollen lymph nodes, fever, night sweats, weight loss, fatigue",Hodgkin’s Disease
"Fatigue, bruising, frequent infections, weight loss, anemia",Hematological Cancers
"Abdominal pain, nausea, bloating, jaundice",Hepatic Cyst
"Rapid breathing, blue skin, poor feeding, lethargy, cold hands and feet",Hypoplastic Left Heart Syndrome
"Fever, chills, cough, sore throat, muscle aches, fatigue",Influenza (Flu)
"Abdominal pain, bloating, diarrhea or constipation, cramping",Irritable Bowel Syndrome (IBS)
"Fatigue, weakness, pale skin, shortness of breath, dizziness",Iron Deficiency Anemia
"Shortness of breath, dry cough, fatigue, unexplained weight loss",Idiopathic Pulmonary Fibrosis
"Red sores, blisters, itching, honey-colored crusts on skin",Impetigo
"Eye redness, pain, blurred vision, light sensitivity",Iritis
"Red rash in skin folds, itching, burning sensation, foul smell",Intertrigo
"Fever, chills, heart murmur, fatigue, muscle aches",Infective Endocarditis
"Dry, scaly skin, thickened skin, itching, rough patches of skin",Ichthyosis Vulgaris
"Easy bruising, prolonged bleeding, fatigue, nosebleeds, blood in urine or stool",Idiopathic Thrombocytopenic Purpura (ITP)
"Chest pain (angina), shortness of breath, heart attack, fatigue",Ischemic Heart Disease
"Headaches, vision problems, ringing in the ears, nausea, vomiting",Idiopathic Intracranial Hypertension
"Bulge in groin or scrotum, pain or discomfort in the groin, weakness",Inguinal Hernia
"Fever, sore throat, swollen lymph nodes, fatigue, swollen tonsils",Infectious Mononucleosis
"Bladder pain, frequent urination, pain during intercourse, pelvic pain",Interstitial Cystitis
"Diarrhea, abdominal pain, weight loss, fatigue, blood in stool",Inflammatory Bowel Disease (IBD)
"Joint pain, swelling, redness, warmth, fever",Infectious Arthritis
"Hypoglycemia (low blood sugar), sweating, dizziness, fainting, confusion",Insulinoma
"Diarrhea, abdominal pain, fever, nausea, vomiting",Infectious Colitis
"Sudden weakness, confusion, difficulty speaking, vision problems, paralysis",Ischemic Stroke
"Excessive daytime sleepiness, difficulty waking up, sleep inertia, naps that don’t refresh",Idiopathic Hypersomnia
"Easy bruising, nosebleeds, gum bleeding, red spots on the skin, fatigue",Immune Thrombocytopenic Purpura (ITP)
"Goiter, fatigue, weight gain, dry skin, memory problems, depression",Iodine Deficiency
"Frequent infections, poor wound healing, fatigue, swollen lymph nodes",Immunodeficiency Disorders
"Muscle weakness, difficulty swallowing, muscle pain, fatigue, weight loss",Inflammatory Myopathy
"Sudden headache, nausea, vomiting, weakness, confusion, loss of consciousness",Intracerebral Hemorrhage
"Vomiting, lethargy, poor feeding, unusual odor (sweaty feet smell), seizures",Isovaleric Acidemia
"Uneven shoulders, uneven waist, one hip higher than the other, back pain",Idiopathic Scoliosis
"Itching, dark urine, pale stools, jaundice, fatigue",Intrahepatic Cholestasis of Pregnancy
"Recurrent infections, fatigue, unexplained weight loss, swollen lymph nodes, fever",Immune System Disorders
"Progressive muscle weakness, difficulty swallowing, muscle wasting",Inclusion Body Myositis
"Abdominal pain, bloody diarrhea, urgent bowel movements, fatigue",Ischemic Colitis
"Shortness of breath, dizziness, chest pain, fatigue, swelling of ankles or legs",Idiopathic Pulmonary Hypertension
"Joint pain, swelling, morning stiffness, fatigue",Inflammatory Polyarthritis
"Severe abdominal pain, vomiting, bloating, inability to pass stool, constipation",Intestinal Obstruction
"Breast lump, breast pain, nipple discharge, swollen lymph nodes",Invasive Ductal Carcinoma (Breast Cancer)
"Thickening of breast tissue, breast lump, nipple discharge, changes in breast skin",Invasive Lobular Carcinoma
"Blood in urine, protein in urine, high blood pressure, kidney dysfunction",Immunoglobulin A (IgA) Nephropathy
"Seizures, confusion, temporary loss of awareness, staring spells",Idiopathic Epilepsy
