Disease,Medical Specialization
Hepatitis A,Hepatologist
Hepatitis A,Infectious Disease Specialist
Hepatitis B,Hepatologist
Hepatitis B,Infectious Disease Specialist
Hepatitis C,Hepatologist
Hepatitis C,Infectious Disease Specialist
HIV/AIDS,Infectious Disease Specialist
Hypertension (High Blood Pressure),Cardiologist
Hypertension (High Blood Pressure),Primary Care Physician
Hypothyroidism,Endocrinologist
Hyperthyroidism,Endocrinologist
Herpes Simplex,Dermatologist
Herpes Simplex,Infectious Disease Specialist
Hansen's Disease (Leprosy),Infectious Disease Specialist
Hansen's Disease (Leprosy),Dermatologist
Hemophilia,Hematologist
Hodgkin's Lymphoma,Oncologist
Hodgkin's Lymphoma,Hematologist
Hypoglycemia,Endocrinologist
Hypoglycemia,Primary Care Physician
Hyperglycemia,Endocrinologist
Hyperglycemia,Primary Care Physician
Hemochromatosis,Hepatologist
Hemochromatosis,Gastroenterologist
Hidradenitis Suppurativa,Dermatologist
Heart Failure,Cardiologist
Hepatic Encephalopathy,Hepatologist
Hepatic Encephalopathy,Neurologist
Histoplasmosis,Infectious Disease Specialist
Histoplasmosis,Pulmonologist
Hantavirus Pulmonary Syndrome,Infectious Disease Specialist
Hantavirus Pulmonary Syndrome,Pulmonologist
Hemolytic Anemia,Hematologist
Helicobacter Pylori Infection,Gastroenterologist
Herpes Zoster (Shingles),Dermatologist
Herpes Zoster (Shingles),Infectious Disease Specialist
Hypercholesterolemia,Cardiologist
Hypercholesterolemia,Endocrinologist
Hypovolemia,Emergency Medicine Physician
Hydrocephalus,Neurologist
Hydrocephalus,Neurosurgeon
Hyperparathyroidism,Endocrinologist
Hypertrophic Cardiomyopathy,Cardiologist
Hives (Urticaria),Dermatologist
Hives (Urticaria),Allergist
Horner Syndrome,Neurologist
Horner Syndrome,Ophthalmologist
Hunter Syndrome,Geneticist
Hunter Syndrome,Pediatrician
Hypopituitarism,Endocrinologist
Hypokalemia,Nephrologist
Hypokalemia,Primary Care Physician
Hypocalcemia,Endocrinologist
Hypocalcemia,Primary Care Physician
Hepatoblastoma,Oncologist
Hepatoblastoma,Pediatric Oncologist
Hematoma,Emergency Medicine Physician
Hematoma,Surgeon
Hyperventilation,Pulmonologist
Hyperventilation,Emergency Medicine Physician
Hydronephrosis,Urologist
Hydronephrosis,Nephrologist
Hereditary Angioedema,Allergist
Hereditary Angioedema,Immunologist
Hepatomegaly,Gastroenterologist
Hepatomegaly,Hepatologist
Hyperaldosteronism,Endocrinologist
Hypercapnia,Pulmonologist
Hypercapnia,Critical Care Specialist
Hydrocele,Urologist
Hyponatremia,Nephrologist
Hyponatremia,Endocrinologist
Hepatorenal Syndrome,Nephrologist
Hepatorenal Syndrome,Gastroenterologist
Hypogonadism,Endocrinologist
Hypophosphatemia,Endocrinologist
Hypophosphatemia,Nephrologist
Hyperprolactinemia,Endocrinologist
Hypersensitivity Pneumonitis,Allergist
Hypersensitivity Pneumonitis,Pulmonologist
Hypovolemic Shock,Emergency Medicine Physician
Hypovolemic Shock,Critical Care Specialist
Herpangina,Pediatrician
Herpangina,Infectious Disease Specialist
Helminthiasis,Infectious Disease Specialist
Helminthiasis,Gastroenterologist
Hodgkin’s Disease,Oncologist
Hodgkin’s Disease,Hematologist
Hematological Cancers,Oncologist
Hematological Cancers,Hematologist
Hepatic Cyst,Gastroenterologist
Hepatic Cyst,Hepatologist
Influenza (Flu),Infectious Disease Specialist
Influenza (Flu),Primary Care Physician
Irritable Bowel Syndrome (IBS),Gastroenterologist
Iron Deficiency Anemia,Hematologist
Iron Deficiency Anemia,Primary Care Physician
Idiopathic Pulmonary Fibrosis,Pulmonologist
Impetigo,Dermatologist
Iritis,Ophthalmologist
Intertrigo,Dermatologist
Infective Endocarditis,Cardiologist
Infective Endocarditis,Infectious Disease Specialist
Ichthyosis Vulgaris,Dermatologist
Idiopathic Thrombocytopenic Purpura (ITP),Hematologist
Ischemic Heart Disease,Cardiologist
Idiopathic Intracranial Hypertension,Neurologist
Infectious Mononucleosis,Infectious Disease Specialist
Interstitial Cystitis,Urologist
Inflammatory Bowel Disease (IBD),Gastroenterologist
Infectious Arthritis,Rheumatologist
Infectious Arthritis,Infectious Disease Specialist
Insulinoma,Endocrinologist
Infectious Colitis,Gastroenterologist
Infectious Colitis,Infectious Disease Specialist
Ischemic Stroke,Neurologist
Idiopathic Hypersomnia,Neurologist
Immune Thrombocytopenic Purpura (ITP),Hematologist
Iodine Deficiency,Endocrinologist
Immunodeficiency Disorders,Immunologist
Immunodeficiency Disorders,Infectious Disease Specialist
Inflammatory Myopathy,Rheumatologist
Inflammatory Myopathy,Neurologist
Intracerebral Hemorrhage,Neurologist
Intracerebral Hemorrhage,Neurosurgeon
Isovaleric Acidemia,Geneticist
Isovaleric Acidemia,Pediatrician
Idiopathic Scoliosis,Orthopedic Surgeon
Idiopathic Scoliosis,Pediatrician
Intrahepatic Cholestasis of Pregnancy,Obstetrician
Intrahepatic Cholestasis of Pregnancy,Gastroenterologist
Immune System Disorders,Immunologist
Inclusion Body Myositis,Neurologist
Inclusion Body Myositis,Rheumatologist
Ischemic Colitis,Gastroenterologist
Idiopathic Pulmonary Hypertension,Pulmonologist
Inflammatory Polyarthritis,Rheumatologist
Intestinal Obstruction,Gastroenterologist
Invasive Ductal Carcinoma (Breast Cancer),Oncologist
Invasive Ductal Carcinoma (Breast Cancer),Surgeon
Invasive Lobular Carcinoma,Oncologist
Invasive Lobular Carcinoma,Surgeon
Immunoglobulin A (IgA) Nephropathy,Nephrologist
Idiopathic Epilepsy,Neurologist
Intrauterine Growth Restriction (IUGR),Obstetrician
Intrauterine Growth Restriction (IUGR),Pediatrician
Idiopathic Subglottic Stenosis,Otolaryngologist
Isolated Systolic Hypertension,Cardiologist
Infant Respiratory Distress Syndrome,Pediatrician
Infant Respiratory Distress Syndrome,Neonatologist
Immune Complex Vasculitis,Rheumatologist
Immune Complex Vasculitis,Immunologist
Idiopathic Short Stature,Pediatric Endocrinologist
Iatrogenic Cushing's Syndrome,Endocrinologist
Immunotherapy-Induced Pneumonitis,Pulmonologist
Immunotherapy-Induced Pneumonitis,Oncologist
Idiopathic Optic Neuritis,Neurologist
Inclusion Body Disease (IBD),Neurologist
Inclusion Body Disease (IBD),Rheumatologist
Idiopathic Pulmonary Alveolar Proteinosis,Pulmonologist
Idiopathic Dystonia,Neurologist
Impetigo Herpetiformis,Dermatologist
Infantile Hemangioma,Pediatrician
Infantile Hemangioma,Dermatologist
Idiopathic Hypercalciuria,Nephrologist
Idiopathic Gastroparesis,Gastroenterologist
Idiopathic Male Infertility,Urologist
Immune Complex Glomerulonephritis,Nephrologist
Immune-Related Adverse Events (irAEs),Oncologist
Immune-Related Adverse Events (irAEs),Immunologist
Intracranial Hypertension,Neurologist
Idiopathic Cold Urticaria,Allergist
Idiopathic Aplastic Anemia,Hematologist
Idiopathic Hyperhidrosis,Dermatologist
Idiopathic Hyperhidrosis,Endocrinologist
Idiopathic Generalized Epilepsy,Neurologist
Immunotherapy-Related Myocarditis,Cardiologist
Immunotherapy-Related Myocarditis,Oncologist
Idiopathic Myelofibrosis,Hematologist
Infantile Spasms (West Syndrome),Pediatric Neurologist
Idiopathic Pulmonary Hemosiderosis,Pulmonologist
Idiopathic Pulmonary Hypertension (IPH),Pulmonologist
Japanese Encephalitis,Infectious Disease Specialist
Japanese Encephalitis,Neurologist
Juvenile Idiopathic Arthritis (JIA),Pediatric Rheumatologist
Jaundice,Gastroenterologist
Jaundice,Pediatrician
Junctional Epidermolysis Bullosa (JEB),Dermatologist
Junctional Epidermolysis Bullosa (JEB),Geneticist
Job Syndrome (Hyper-IgE Syndrome),Immunologist
Job Syndrome (Hyper-IgE Syndrome),Pediatrician
Juvenile Rheumatoid Arthritis,Pediatric Rheumatologist
Jejunal Atresia,Pediatric Surgeon
Jansen’s Metaphyseal Chondrodysplasia,Geneticist
Jansen’s Metaphyseal Chondrodysplasia,Orthopedic Surgeon
Juvenile Myoclonic Epilepsy,Neurologist
Jellyfish Stings,Emergency Medicine Physician
Johanson-Blizzard Syndrome,Geneticist
Johanson-Blizzard Syndrome,Pediatrician
Juvenile Osteoporosis,Pediatric Endocrinologist
Juvenile Osteoporosis,Orthopedic Surgeon
Jervell and Lange-Nielsen Syndrome,Cardiologist
Jervell and Lange-Nielsen Syndrome,Geneticist
Joint Hypermobility Syndrome,Rheumatologist
Joint Hypermobility Syndrome,Physical Therapist
Juvenile Dermatomyositis,Pediatric Rheumatologist
Juvenile Polyposis Syndrome,Gastroenterologist
Joubert Syndrome,Neurologist
Joubert Syndrome,Geneticist
Jansen Type Metaphyseal Dysplasia,Geneticist
Jansen Type Metaphyseal Dysplasia,Orthopedic Surgeon
Jalili Syndrome,Geneticist
Jalili Syndrome,Pediatrician
Juvenile Xanthogranuloma,Pediatric Oncologist
Jarcho-Levin Syndrome,Geneticist
Jarcho-Levin Syndrome,Pediatrician
Jelly Belly Syndrome,Gastroenterologist
Juvenile Paget's Disease,Pediatric Endocrinologist
Juvenile Huntington’s Disease,Neurologist
Junk Food Addiction,Nutritionist
Jungle Yellow Fever,Infectious Disease Specialist
Jellyfish Allergy,Allergist
Juvenile Granulosa Cell Tumor,Pediatric Oncologist
Jackson-Weiss Syndrome,Geneticist
Jackson-Weiss Syndrome,Orthopedic Surgeon
Juvenile Macular Degeneration,Ophthalmologist
Jacquet’s Dermatitis,Dermatologist
Juvenile Nasopharyngeal Angiofibroma,Pediatrician
Jejunal Diverticulitis,Gastroenterologist
Juvenile Systemic Lupus Erythematosus,Pediatric Rheumatologist
Janiceps Twins (Conjoined Twins),Pediatrician
Janiceps Twins (Conjoined Twins),Geneticist
Jacobs Syndrome (XYY Syndrome),Geneticist
Jacobs Syndrome (XYY Syndrome),Pediatrician
Juvenile Diabetes (Type 1 Diabetes),Pediatric Endocrinologist
Joint Effusion (Fluid on the Joint),Orthopedic Surgeon
Joint Effusion (Fluid on the Joint),Rheumatologist
Juvenile Sarcoidosis,Rheumatologist
Jejunoileal Atresia,Pediatric Surgeon
Jock Itch (Tinea Cruris),Dermatologist
Juvenile-Onset Diabetes,Pediatric Endocrinologist
Jugular Vein Thrombosis,Vascular Surgeon
Jugular Vein Thrombosis,Hematologist
Juvenile Non-Hodgkin Lymphoma,Pediatric Oncologist
Jaw Cancer,Oncologist
Jaw Cancer,Oral Surgeon
Jalapeño Pepper Allergy,Allergist
Juvenile Vulvar Dermatitis,Dermatologist
Jaundiced Eye Syndrome,Ophthalmologist
Juvenile Multiple Sclerosis (MS),Neurologist
Juvenile Parkinsonism,Neurologist
Joint Aspiration Infection,Orthopedic Surgeon
Joint Aspiration Infection,Infectious Disease Specialist
Jansen De Vries Syndrome,Geneticist
Jansen De Vries Syndrome,Pediatrician
Juvenile Myasthenia Gravis,Neurologist
Jelly Belly Syndrome (Carbohydrate Sensitivity),Gastroenterologist
Jelly Belly Syndrome (Carbohydrate Sensitivity),Dietitian
Joint Malalignment Syndrome,Orthopedic Surgeon
Juvenile Pleomorphic Adenoma,Pediatric Oncologist
Job’s Syndrome (Autosomal Dominant Hyper-IgE Syndrome),Immunologist
Job’s Syndrome (Autosomal Dominant Hyper-IgE Syndrome),Pediatrician
Juvenile Psoriatic Arthritis,Pediatric Rheumatologist
Jingle Bell Palsy,Neurologist
Juvenile Granulosa Cell Tumor of the Ovary,Pediatric Oncologist
Jaundice Associated with Hepatitis,Gastroenterologist
Jejunal Cancer,Oncologist
Junctional Nevus,Dermatologist
Juvenile Temporal Arteritis,Pediatric Rheumatologist
Malaria,Infectious Disease Specialist
Meningitis,Infectious Disease Specialist
Meningitis,Neurologist
Myocardial Infarction,Cardiologist
Multiple Sclerosis,Neurologist
Mumps,Infectious Disease Specialist
Measles,Infectious Disease Specialist
Marfan Syndrome,Cardiologist
Marfan Syndrome,Geneticist
Melanoma,Oncologist
Methemoglobinemia,Hematologist
Methemoglobinemia,Emergency Medicine Physician
Meniere's Disease,Otolaryngologist
Malabsorption Syndrome,Gastroenterologist
Mastitis,Obstetrician
Mastitis,Primary Care Physician
Myasthenia Gravis,Neurologist
Monkeypox,Infectious Disease Specialist
Marasmus,Pediatrician
Marasmus,Nutritionist
Mucopolysaccharidosis,Geneticist
Mucopolysaccharidosis,Pediatrician
Melasma,Dermatologist
Mitochondrial Myopathy,Neurologist
Mitochondrial Myopathy,Geneticist
Menopause,Gynecologist
Mucosal Neuroma,Otolaryngologist
Microbial Keratitis,Ophthalmologist
Mitochondrial Disease,Geneticist
Mitochondrial Disease,Neurologist
Malarial Anemia,Infectious Disease Specialist
Malarial Anemia,Hematologist
Morbid Obesity,Bariatric Surgeon
Morbid Obesity,Endocrinologist
Myofascial Pain Syndrome,Physical Therapist
Menstrual Dysphoria,Gynecologist
Mild Cognitive Impairment,Neurologist
Mild Cognitive Impairment,Geriatrician
Marfan Heart Disease,Cardiologist
Marfan Heart Disease,Geneticist
Mucormycosis,Infectious Disease Specialist
Myelitis,Neurologist
Meningeal Carcinomatosis,Oncologist
Meningeal Carcinomatosis,Neurologist
Mucopolysaccharidosis II,Geneticist
Mucopolysaccharidosis II,Pediatrician
Myelodysplastic Syndrome,Hematologist
Mononucleosis,Infectious Disease Specialist
Morphea,Dermatologist
Melioidosis,Infectious Disease Specialist
Mumps Orchitis,Infectious Disease Specialist
Medullary Thyroid Carcinoma,Oncologist
Medullary Thyroid Carcinoma,Endocrinologist
Meniere's Attack,Otolaryngologist
Myasthenic Crisis,Neurologist
Medication Overdose,Emergency Medicine Physician
Mosaic Down Syndrome,Geneticist
Mosaic Down Syndrome,Pediatrician
Mycotic Aneurysm,Vascular Surgeon
Mycotic Aneurysm,Infectious Disease Specialist
Mucous Cyst,Dermatologist
Male Hypogonadism,Endocrinologist
Male Hypogonadism,Urologist
Mitral Valve Prolapse,Cardiologist
Metrorrhagia,Gynecologist
Multiple System Atrophy,Neurologist
Myoclonus,Neurologist
Meniere's Syndrome,Otolaryngologist
Melanosis,Dermatologist
Mucopolysaccharidosis I,Geneticist
Mucopolysaccharidosis I,Pediatrician
Myofibroblastoma,Oncologist
Mediastinal Tumor,Oncologist
Melioidosis,Infectious Disease Specialist
Malignant Hypercalcemia,Oncologist
Malignant Hypercalcemia,Endocrinologist
Mongolian Spot,Dermatologist
Meniere's Disease,Otolaryngologist
Myasthenic Syndrome,Neurologist
Monosomy,Geneticist
Malignant Rhabdoid Tumor,Oncologist
Mucosal Melanoma,Oncologist
Myeloid Sarcoma,Oncologist
Molar Pregnancy,Obstetrician
Multinodular Goiter,Endocrinologist
Meningioma,Neurosurgeon
Mycobacterium Avium Complex,Infectious Disease Specialist
Myxedema Coma,Endocrinologist
Myxedema Coma,Critical Care Physician
Mucus Retention Cyst,Otolaryngologist
Monoclonal Gammopathy,Hematologist
Muscle Strain,Orthopedic Surgeon
Muscle Strain,Physical Therapist
Mycosis Fungoides,Dermatologist
Mycosis Fungoides,Oncologist
Melanocytic Nevus,Dermatologist
Malignant Otitis Externa,Otolaryngologist
Myelodysplastic Syndromes,Hematologist
Mumps Virus Infection,Infectious Disease Specialist
Mucopolysaccharidosis III,Geneticist
Mucopolysaccharidosis III,Pediatrician
Myofascial Release Syndrome,Physical Therapist
Meniere's Disease,Otolaryngologist
Meckel's Diverticulum,Pediatric Surgeon
Moyamoya Disease,Neurologist
Mediastinitis,Infectious Disease Specialist
Microangiopathic Hemolytic Anemia,Hematologist
Mitochondrial Encephalomyopathy,Neurologist
Mitochondrial Encephalomyopathy,Geneticist
Macular Degeneration,Ophthalmologist
Myelitis,Neurologist
Myofascial Pain Disorder,Physical Therapist
Multinodular Goiter,Endocrinologist
Marfan Syndrome,Cardiologist
Marfan Syndrome,Geneticist
Meningococcal Disease,Infectious Disease Specialist
Mucormycosis,Infectious Disease Specialist
Menorrhagia,Gynecologist
Mucosal Immunology,Immunologist
Malignant Fibrous Histiocytoma,Oncologist
Metabolic Syndrome,Endocrinologist
Metabolic Syndrome,Primary Care Physician
Melanoma,Oncologist
Myelofibrosis,Hematologist
Mitral Stenosis,Cardiologist
Meningeal Carcinomatosis,Oncologist
Meningeal Carcinomatosis,Neurologist
Melanocytic Nevus,Dermatologist
Myotonic Dystrophy,Neurologist
Mild Traumatic Brain Injury,Neurologist
Mild Traumatic Brain Injury,Rehabilitation Specialist
Magnesium Deficiency,Endocrinologist
Magnesium Deficiency,Nutritionist
Muscle Weakness,Neurologist
Muscle Weakness,Physical Therapist
Malignant Melanoma,Oncologist
Mucopolysaccharidosis,Geneticist
Mucopolysaccharidosis,Pediatrician
Mild Cognitive Impairment,Neurologist
Mild Cognitive Impairment,Geriatrician
Metatarsal Fracture,Orthopedic Surgeon
Meningitis,Infectious Disease Specialist
Meningitis,Neurologist
Meniere's Disease,Otolaryngologist
Malrotation,Pediatric Surgeon
Mitochondrial Cytopathy,Geneticist
Mitochondrial Cytopathy,Neurologist
Myotubular Myopathy,Neurologist
Myotubular Myopathy,Geneticist
Malignant Ascites,Oncologist
Myocarditis,Cardiologist
Mucosa-Associated Lymphoid Tissue (MALT) Lymphoma,Oncologist
Myofascial Pain Syndrome,Physical Therapist
Metastatic Breast Cancer,Oncologist
Mosaicism,Geneticist
Menopausal Symptoms,Gynecologist
Multiple Myeloma,Hematologist
Multiple Myeloma,Oncologist
Meningococcal Meningitis,Infectious Disease Specialist
Malabsorption,Gastroenterologist
Myopathy,Neurologist
Medullary Carcinoma,Oncologist
Melanosis Coli,Gastroenterologist
Myositis,Rheumatologist
Myositis,Neurologist
Mononucleosis,Infectious Disease Specialist
Malignant Transformation,Oncologist
Menstruation-Related Disorders,Gynecologist
Mineralocorticoid Deficiency,Endocrinologist
Mediastinal Lymphadenopathy,Oncologist
Mediastinal Lymphadenopathy,Pulmonologist
Morbid Obesity,Bariatric Surgeon
Morbid Obesity,Endocrinologist
Mammary Paget Disease,Oncologist
Mammary Paget Disease,Dermatologist
Meningioma,Neurosurgeon
Myelitis,Neurologist
Menopause,Gynecologist
Myelodysplastic Syndromes,Hematologist
Macular Edema,Ophthalmologist
Methemoglobinemia,Hematologist
Methemoglobinemia,Emergency Medicine Physician
Mesothelioma,Oncologist
Mild Cognitive Impairment,Neurologist
Mild Cognitive Impairment,Geriatrician
Megaloblastic Anemia,Hematologist
Megaloblastic Anemia,Primary Care Physician
Mononeuropathy,Neurologist
Mucocutaneous Lymph Node Syndrome,Infectious Disease Specialist
Mucocutaneous Lymph Node Syndrome,Pediatrician
Lymphoma,Oncologist
Lymphoma,Hematologist
Leukemia,Oncologist
Leukemia,Hematologist
Liver Cirrhosis,Gastroenterologist
Liver Cirrhosis,Hepatologist
Liver Cancer,Oncologist
Liver Cancer,Hepatologist
Lupus (Systemic Lupus Erythematosus),Rheumatologist
Lupus (Systemic Lupus Erythematosus),Immunologist
Legionnaires' Disease,Infectious Disease Specialist
Lyme Disease,Infectious Disease Specialist
Laryngitis,Otolaryngologist
Lumbago (Lower Back Pain),Orthopedic Surgeon
Lumbago (Lower Back Pain),Physical Therapist
Lichen Planus,Dermatologist
Liver Disease,Gastroenterologist
Liver Disease,Hepatologist
Lyophilized Powder Pulmonary Embolism,Pulmonologist
Lyophilized Powder Pulmonary Embolism,Emergency Medicine Physician
Lymphangitis,Infectious Disease Specialist
Leprosy (Hansen's Disease),Infectious Disease Specialist
Leprosy (Hansen's Disease),Dermatologist
Lactose Intolerance,Gastroenterologist
Lactose Intolerance,Dietitian
Lupus Nephritis,Nephrologist
Lupus Nephritis,Rheumatologist
Lichen Sclerosus,Dermatologist
Liver Abscess,Gastroenterologist
Liver Abscess,Infectious Disease Specialist
Leukocyte Adhesion Deficiency,Immunologist
Leukocyte Adhesion Deficiency,Hematologist
Lipid Storage Disorders,Geneticist
Lipid Storage Disorders,Pediatrician
Lymphocytic Hypophysitis,Endocrinologist
Lymphocytic Hypophysitis,Neurologist
Lumbosacral Plexopathy,Neurologist
Late-Onset Pompe Disease,Neurologist
Late-Onset Pompe Disease,Geneticist
Lipoid Proteinosis,Dermatologist
Lipoid Proteinosis,Geneticist
Lymphocytic Colitis,Gastroenterologist
Lateral Epicondylitis (Tennis Elbow),Orthopedic Surgeon
Lateral Epicondylitis (Tennis Elbow),Physical Therapist
Long QT Syndrome,Cardiologist
Lymphoid Leukemia,Hematologist
Lymphoid Leukemia,Oncologist
Laryngeal Cancer,Oncologist
Laryngeal Cancer,Otolaryngologist
Lymphoedema,Vascular Surgeon
Legionella Pneumonia,Infectious Disease Specialist
Limb-Girdle Muscular Dystrophy,Neurologist
Limb-Girdle Muscular Dystrophy,Geneticist
Lactate Acidosis,Critical Care Physician
Lumbar Spinal Stenosis,Orthopedic Surgeon
Lumbar Spinal Stenosis,Neurologist
Limbic Encephalitis,Neurologist
Limbic Encephalitis,Psychiatrist
Latex Allergy,Allergist
Latex Allergy,Immunologist
Luminal GIT Cancer,Gastroenterologist
Luminal GIT Cancer,Oncologist
Leptospirosis,Infectious Disease Specialist
Lymphangioleiomyomatosis,Pulmonologist
Lymphangioleiomyomatosis,Oncologist
Limbic Dysfunction,Neurologist
Limbic Dysfunction,Psychiatrist
Laryngeal Paralysis,Otolaryngologist
Lateral Medullary Syndrome,Neurologist
Lucent Hepatic Lesions,Hepatologist
Laryngeal Papillomatosis,Otolaryngologist
Lymphoblastic Lymphoma,Oncologist
Lymphoblastic Lymphoma,Hematologist
Low Birth Weight,Neonatologist
Low Birth Weight,Pediatrician
Lymphoma (Non-Hodgkin),Oncologist
Lymphoma (Non-Hodgkin),Hematologist
Lupus Erythematosus,Rheumatologist
Lupus Erythematosus,Immunologist
Laryngeal Infection,Otolaryngologist
Leukoencephalopathy,Neurologist
Leptomeningeal Carcinomatosis,Oncologist
Laryngeal Cysts,Otolaryngologist
Lipodystrophy,Endocrinologist
Lactobacillus Infection,Infectious Disease Specialist
Lymphatic Filariasis,Infectious Disease Specialist
Langerhans Cell Histiocytosis,Oncologist
Langerhans Cell Histiocytosis,Hematologist
Lethargy Syndrome,Neurologist
Lethargy Syndrome,Endocrinologist
Linear IgA Dermatosis,Dermatologist
Lhermitte's Sign,Neurologist
Lateral Ventricular Tumors,Neurosurgeon
Lateral Ventricular Tumors,Oncologist
Low-Grade Glioma,Oncologist
Low-Grade Glioma,Neurosurgeon
Lymphocyte Activation Gene 3 (LAG-3) Deficiency,Immunologist
Lymphocyte Activation Gene 3 (LAG-3) Deficiency,Hematologist
Lithiasis,Urologist
Lithiasis,Gastroenterologist
Lymphocytic Hypophysitis,Endocrinologist
Lymphocytic Hypophysitis,Neurologist
Limbic Encephalitis,Neurologist
Limbic Encephalitis,Psychiatrist
Lymphocytic Thyroiditis,Endocrinologist
Lactose Malabsorption,Gastroenterologist
Lactose Malabsorption,Dietitian
Long Bone Fracture,Orthopedic Surgeon
Liver Dysfunction,Gastroenterologist
Liver Dysfunction,Hepatologist
Lipoid Pneumonia,Pulmonologist
Lipoid Pneumonia,Infectious Disease Specialist
Low Serum Iron,Hematologist
Low Serum Iron,Primary Care Physician
Lumbar Radiculopathy,Neurologist
Lumbar Radiculopathy,Orthopedic Surgeon
Low Potassium Levels (Hypokalemia),Nephrologist
Low Potassium Levels (Hypokalemia),Endocrinologist
Lateral Sclerosis,Neurologist
Laceration,Emergency Medicine Physician
Laceration,Surgeon
Lethal Familial Insomnia,Neurologist
Lethal Familial Insomnia,Geneticist
Lithiasis (Cholelithiasis),Gastroenterologist
Lithiasis (Cholelithiasis),Surgeon
Lymphadenopathy,Infectious Disease Specialist
Lymphadenopathy,Oncologist
Lipoedema,Dermatologist
Lipoedema,Vascular Surgeon
Limb Length Discrepancy,Orthopedic Surgeon
Langerhans Cell Histiocytosis,Oncologist
Langerhans Cell Histiocytosis,Hematologist
Late Onset Alzheimer’s Disease,Neurologist
Late Onset Alzheimer’s Disease,Geriatrician
Limb-Girdle Muscular Dystrophy,Neurologist
Limb-Girdle Muscular Dystrophy,Geneticist
Lupus Nephritis,Nephrologist
Lupus Nephritis,Rheumatologist
Lymphangiosarcoma,Oncologist
Lymphangiosarcoma,Vascular Surgeon
Lipid Metabolism Disorders,Endocrinologist
Lipid Metabolism Disorders,Geneticist
Legionella Infection,Infectious Disease Specialist
Leptomeningeal Disease,Oncologist
Leptomeningeal Disease,Neurologist
Limbic Dysfunction,Neurologist
Limbic Dysfunction,Psychiatrist
Leukodystrophy,Neurologist
Leukodystrophy,Geneticist
Lymphoplasmacytic Lymphoma,Oncologist
Lymphoplasmacytic Lymphoma,Hematologist
Liver Hemangioma,Gastroenterologist
Liver Hemangioma,Oncologist
Labyrinthitis,Otolaryngologist
Labyrinthitis,Neurologist
Liver Injury,Gastroenterologist
Liver Injury,Hepatologist
Long QT Syndrome,Cardiologist
Lichen Simplex Chronicus,Dermatologist
Lethargic Encephalitis,Neurologist
Lactation Mastitis,Obstetrician
Leg Pain Syndrome,Orthopedic Surgeon
Leg Pain Syndrome,Neurologist
Light Sensitivity (Photophobia),Ophthalmologist
Light Sensitivity (Photophobia),Neurologist
Lumbosacral Strain,Orthopedic Surgeon
Lumbosacral Strain,Physical Therapist
Low Testosterone (Hypogonadism),Endocrinologist
Low Testosterone (Hypogonadism),Urologist
Low-Grade Lymphoma,Oncologist
Low-Grade Lymphoma,Hematologist
Lactose Deficiency,Gastroenterologist
Lactose Deficiency,Dietitian
Lateral Medullary Infarct,Neurologist
Lumbago (Back Pain),Orthopedic Surgeon
Lumbago (Back Pain),Physical Therapist
Low Blood Pressure (Hypotension),Cardiologist
Low Blood Pressure (Hypotension),Primary Care Physician
Laryngomalacia,Otolaryngologist
Lymphocytic Meningitis,Infectious Disease Specialist
Lymphocytic Meningitis,Neurologist
Lymphocyte Reactivity,Immunologist
Lymphocyte Reactivity,Hematologist
Laryngeal Edema,Otolaryngologist
Lipid Disorders,Endocrinologist
Lipid Disorders,Cardiologist
Leukemia (Acute Myeloid),Hematologist
Leukemia (Acute Myeloid),Oncologist
Lymphatic Cysts,Vascular Surgeon
Liver Fibrosis,Gastroenterologist
Liver Fibrosis,Hepatologist
Lyme Borreliosis,Infectious Disease Specialist
Lyme Borreliosis,Neurologist
Lumbar Spondylosis,Orthopedic Surgeon
Lumbar Spondylosis,Neurologist
Lateral Fasciculus Lesion,Neurologist
Lumbosacral Spondylosis,Orthopedic Surgeon
Lumbosacral Spondylosis,Neurologist
Leukoencephalitis,Neurologist
Lipomatosis,Dermatologist
Lactation Suppression,Obstetrician
Lactose-Intolerant Colitis,Gastroenterologist
Lactose-Intolerant Colitis,Dietitian
Lymphatic Malformation,Pediatric Surgeon
Leg Weakness,Neurologist
Leg Weakness,Orthopedic Surgeon
Leptin Receptor Deficiency,Endocrinologist
Leptin Receptor Deficiency,Geneticist
Lupus Anticoagulant Syndrome,Rheumatologist
Lupus Anticoagulant Syndrome,Hematologist
Liver Encephalopathy,Gastroenterologist
Liver Encephalopathy,Neurologist
Lymphocytic Vasculitis,Rheumatologist
Lymphocytic Vasculitis,Immunologist
Kawasaki Disease,Pediatrician
Kawasaki Disease,Cardiologist
Klinefelter Syndrome,Endocrinologist
Klinefelter Syndrome,Geneticist
Keratitis,Ophthalmologist
Knee Osteoarthritis,Orthopedic Surgeon
Knee Osteoarthritis,Rheumatologist
Keratoconus,Ophthalmologist
Kidney Stones,Urologist
Kidney Stones,Nephrologist
Koch’s Disease (Tuberculosis),Infectious Disease Specialist
Koch’s Disease (Tuberculosis),Pulmonologist
Keratoconjunctivitis,Ophthalmologist
Knee Bursitis,Orthopedic Surgeon
Keloids,Dermatologist
Keloids,Plastic Surgeon
Kawasaki Syndrome,Pediatrician
Kawasaki Syndrome,Cardiologist
Keloid Scarring,Dermatologist
Keloid Scarring,Plastic Surgeon
Kucchaar (Fibrous Dysplasia),Endocrinologist
